,english,persian
33,arbitrage instruments and processes,ابزارها و فرایندهای آربیتراژ
34,arbitrage trade,معاملۀ آربیتراژ
35,arithmetic return,بازدۀ حسابی 
36,Asian dollar market,بازار دلار آسیایی
37,ask quote,مظنۀ فروش
38,asymmetric information,اطلاعات نامتقارن
39,auction market,"بازار حراج
مقابل dealer market"
40,autoregressive conditional heteroscedasticity (ARCH),آرچ (مدل‌های سری زمانی مالی)
41,availability bias,سوگیری دسترسی
42,average accounting return method,روش میانگین بازدۀ حسابداری
43,backward vertical FDI,سرمایه‌گذاری مستقیم خارجی عمودی رو به پایین (مواد خام)
44,bail in ,نجات از درون (ورشکستگی)
45,balance on goods and services ,"موازنۀ کالا و خدمات
← balance of trade"
46,bank line,خط اعتباری بانکی (وام کوتاه‌مدت بانکی)
47,Bank of England   (BoE),بانک مرکزی انگلستان
48,Bank of Japan   (BoJ),بانک مرکزی ژاپن
49,bank panic,"هراس بانکی (هجوم گسترده به بانک‌ها) 
← bank run"
50,bank run ,هجوم به بانک‌ها (برداشت هم‌زمان سپرده‌های بانکی)
51,bankruptcy costs ,هزینه‌های ورشکستگی
52,basis,پایه (۱. اساس محاسبۀ عایدی یا زیان سرمایه‌ای ۲. مابه‌التفاوت قیمت نقدی کالا و قیمت قرارداد آتی آن)
53,basis risk,"ریسک پایه (عدم‌همسویی قیمت قرارداد آتی با دارایی مبنا)
← basis"
54,Basle Agreement ,توافق‌نامۀ بال
55,Bear Stearns,بیر استرن (بانک سرمایه‌گذاری مستقر در نیویورک، ورشکسته در جریان بحران مالی ۲۰۰۸)
56,bearer securities,اوراق بهادار بی‌نام
57,behavioral portfolio,"سبد رفتاری (مالی رفتاری: لایه‌های حسابداری ذهنی)
←hope for riches; mental accounting; fear of poverty"
58,benchmark portfolio ,سبد سرمایه‌گذاری مرجع
59,Berkshire Hathaway,برکشایر هاثووی (شرکت وارن بافت)
60,bet,شرط‌بندی
61,bid quote,مظنۀ خرید
62,"""bird in the hand"" dividend theory ","نظریۀ تقسیم سود دست به نقد (ترجیح سود سهام نسبت به عایدی سرمایه‌ای نزد سهامداران)
"
63,Black Swan theory,نظریۀ قوی سیاه (نسیم طالب)
64,Black-Scholes option pricing model,مدل قیمت‌گذاری اختیار معاملۀ بلک - شولز
65,block houses,کارگزاری معاملات بلوکی (بورس نیویورک)
66,bond futures,قرارداد آتی قرضه 
67,bond portfolio management ,مدیریت سبد سرمایه‌گذاری اوراق قرضه
68,bond portfolio performance evaluation ,ارزیابی عملکرد سبد اوراق قرضه
69,book to market value (BTM),ارزش دفتری به ارزش بازار
70,bootstrapping company,شرکت نوپای خودساخته
71,BOT annuity,بی او تی با اقساط مساوی
72,BOT annuity,اقساط مساوی بی او تی
73,bottom line,"سود خالص (اصطلاح غیررسمی)
مترادف net income
مقابل top line"
74,bounded rationality,عقلانیت محدود
75,bracketed order,سفارش دو وجهی (محدود و زیان‌گریز)
76,breakeven analysis,تحلیل نقطۀ سربه‌سر
77,bridge bank,بانک واسط (حل‌وفصل بحران مالی)
78,brokerage commission,کارمزد کارگزاری
79,brokerage commission,حق‌الزحمۀ کارگزاری
80,brokerage company,شرکت‌ کارگزاری
81,Bundes bund (bond),"قرضۀ دولتی آلمان (معادل قرضۀ خزانه‌داری امریکا)
← Treasury bonds"
82,Bundesbank ,"بانک مرکزی آلمان
کوتاه‌شدۀ Deutsche Bundesbank"
83,Buttonwood Agreement (The), قرارداد باتن وود (منعقده در سال ۱۷۹۲ به منظور ایجاد بورس نیویورک)
84,buy and sell orders,سفارش‌های خرید و فروش
85,buying on the dip,خرید در بازار کاهشی
86,call auction,"حراج با وقت قبلی (انجام سفارشات خرید و فروش اوراق بهادار در زمان از پیش تعیین‌شده)
مترادف the calls
← continuous auction"
87,call markets ,"بازارهای با زمان معین 
مقابل  continuous markets"
88,cannibalization,هم‌جنس‌خواری (بازاریابی)
89,capital adequacy requirements,"الزامات کفایت سرمایه
← capital adequacy ratio"
90,capital intensity ratio,نسبت شدت سرمایه
91,capital lease,"اجارۀ سرمایه‌ای (بلندمدت)
مترادف  finance lease"
92,capital structure,"ساختار سرمایه 
← capitalization ratio; par value"
93,capitalization of income method of valuation ,روش ارزشیابی بر اساس سرمایه‌ای‌کردن درآمد
94,caps,قراردادهای سقف
95,carrying charge,"1. هزینۀ نگهداری (کالا)
۲. هزینۀ نگهداری (حساب اعتباری کارگزاری) 
 ← margin account
۳. هزینۀ نگهداری (وجوه نقدی بازار) 
مترادف shortage costs
۴. هزینۀ فروش اقساطی (خرده‌فروشی)"
96,cash breakeven analysis,تحلیل نقطۀ سربه‌سر (ارزیابی پروژه)
97,cash concentration,تمرکز نقدی
98,cash cycle ,چرخۀ نقدی (فاصلۀ بین پرداخت نقدی و دریافت نقدی)
99,cash discount ,"تخفیف نقدی
مترادف sales discount"
100,cash matching,"تطبیق نقدی (مدیریت سبد سرمایه‌گذاری اوراق قرضه)
 ← immunization"
101,cash settlement,"تسویۀ نقدی (قرارداد آتی در حال سررسید)
← settlement by offset"
102,cash trading ,خرید و فروش نقدی 
103,cash-and-carry arbitrage,آربیتراژ مواضع عینی - عاریتی
104,centralized market,"بازار متمرکز 
مقابل  decentralized market"
105,characteristic timing,مشخصۀ بازاربینی
106,checking deposit,سپردۀ دیداری (حساب جاری)
107,clearing and settlement house,اتاق پایاپای و تسویه
108,clientele effect,"اثر سرمایه‌گذار (تأثیر رویکرد سهامداران نسبت به سیاست تقسیم سود روی قیمت سهام)
← dividend policy"
109,closed - end management company,"شرکت مدیریت صندوق سرمایه‌گذاری با سرمایۀ ثابت
مترادف  closed - end fund"
110,closely held shares (CLSH),سهام شرکت تحت کنترل خاص
111,clustering,خوشه‌بندی
112,cofinancing agreements,قراردادهای تأمین مالی مشترک (بانک‌ جهانی به همراه سایر آژانس‌ها و وام‌دهندگان)
113,cognitive biases ,"سوگیری‌های شناختی (علوم شناختی)
مقابل sentiment (emotional) biases"
114,cognitive dissonance,سوگیری ناهماهنگی شناختی
115,cognitive psychology,روان‌شناسی شناختی
116,cognitive science,علوم شناختی
117,cognitive skills,مهارت‌های شناختی
118,cointegration,هم‌انباشتگی
119,cointegration and error correction method,هم‌انباشتگی و روش تصحیح خطا (مدیریت ریسک)
120,collection policy,سیاست وصول مطالبات
121,commitments of traders (COT) report,"گزارش تعهدات معامله‌گران
        ←  Commodity Futures Trading Commission (CFTC "
122,commodity price risk,ریسک قیمت کالاهای اساسی
123,comparative static analysis,تحلیل تطبیقی ایستا
124,composition problem,"مشکل ترکیب (مشکلات ناشی از رفتار جمعی)
←  banking panics; price level instability; stock market crash "
125,compound,مرکب
126,concentration banking,بانکداری متمرکز
127,conditional distributions,"توزیع‌های شرطی
مقابل unconditional distributions"
128,conditional efficiency,کارایی شرطی
129,conditional value at risk (CVaR),ارزش در معرض ریسک شرطی
130,confirmation bias,سوگیری تأییدگرایانه
131,conservatism bias,سوگیری محافظه‌کاری (علوم رفتاری)
132,consolidation ,"تلفیق (انحلال شرکت‌های ادغام‌کننده و ادغام‌شونده و ایجاد شرکت جدید)
← merger"
133,constant conditional correlation (CCC),مدل‌های همبستگی شرطی ثابت
134,constant dividend payout ratio ,"نسبت پرداخت سود سهام ثابت (سیاست تقسیم سود)
← dividend policy"
135,consumption commodities,کالاهای اساسی مصرفی
136,containment phase ,مرحلۀ مهار (حل‌وفصل بحران بانکی)
137,contingent immunization,"مصون‌سازی احتیاطی
(به جای مدیریت فعال سبد سرمایه‌گذاری)
  ←   bond portfolio management"
138,contingent planning,برنامه‌ریزی احتیاطی
139,continuous compound return,بازدۀ مرکب پیوسته
140,continuous market,"بازار دایمی (بدون وقفه)
مترادف continuous auction
مقابل call market"
141,contract leverage multiplier,ضریب اهرم قرارداد
142,controlled disbursement account,حساب کنترل پرداخت‌ها
143,convenience yield,بازدۀ در دسترس
144,convergence principle,اصل همگرایی
145,convertible preferred stock ,سهام ممتاز تبدیل‌پذیر
146,corporate finance services,خدمات مالی شرکت‌ها
147,corporate finance valuation,ارزشیابی مالی شرکت‌ها
148,cost cutting,هزینه‌کاهی
149,cost of contracting ,هزینۀ عقد قرارداد
150,cost of debt financing,"هزینۀ بدهی
← cost of equity; interest expense"
151,cost of preferred stock,هزینۀ سهام ممتاز
152,counter-party risk,ریسک طرف معامله
153,counter-purchase,خرید متقابل
154,counter-trade ,تجارت متقابل
155,coupon bond,قرضۀ کوپن‌دار
156,covenant,میثاق‌نامه (قرارداد رسمی بدهی)
157,covered interest arbitrage,"آربیتراژ بهرۀ پوششی 
مقابل uncovered interest arbitrage 
← actual forward exchange rate; implicit forward exchange rate "
158,covered interest rate parity,برابری نرخ بهرۀ پوشش‌یافته
159,credit instrument ,سند بدهی (نظیر سفته)
160,credit substitution ,"معین اعتباری
← technology of financial system"
161,credit trading ,"خرید و فروش نسیه (مبادلۀ ارزش با قول)
مقابل cash trading"
162,crisis resolution,حل‌وفصل بحران (بانکی)
163,cross - border mergers,ادغام‌های فرامرزی
164,crowdfunding,تأمین مالی جمعی
165,crowding - out effect,اثر تزاحم (افزایش نرخ بهره به دلیل افزایش وام‌گیری دولت و در نتیجه کاهش سرمایه‌گذاری خصوصی و تنگ‌شدن عرصه بر بخش خصوصی)
166,cumulative prospect theory,نظریۀ چشم‌انداز انباشته
167,curbside traders,"معامله‌گران کنار خیابان 
← American Stock Exchange "
168,currency cocktail bond ,اوراق قرضۀ مختلط ارزی
169,currency diversification ,تنوع ارزی
170,currency premium ,"صرف ارز
← expectation theory"
171,currency ratio,نسبت ارزی (تقسیم مبلغ ارز در اختیار عموم به کل سپرده‌های دیداری)
172,current liability ,"بدهی جاری
مترادف temporary source of financing "
173,daily cash settlement,تسویۀ نقدی روزانه
174,daily settlement ,تسویۀ روزانه (قرارداد آتی)
175,daily settlement price,قیمت تسویۀ روزانه 
176,date of payment ,تاریخ پرداخت (سود سهام)
178,dealer loan ,وام معامله‌گر (اعطایی بانک به معامله‌گران به منظور خرید اوراق بهادار)
179,dealer market for swap,بازار معامله‌گران سوآپ (بازار داخلی)
180,debt - equity firm,"شرکت‌های اهرمی 
مقابل all-equity firm"
181,debt refunding,تأمین مجدد بدهی
182,decentralized market ,بازار غیرمتمرکز
183,dedicated portfolio ,"سبد سرمایه‌گذاری تطبیق نقدی
←  cash matching"
184,default - free,بدون نکول
185,default premium ,صرف نکول (مابه‌التفاوت بازدۀ تعهد‌شده و بازدۀ مورد انتظار)
186,defensive investor,"سرمایه‌گذار محافظه‌کار
مترادف passive investor
مقابل enterprising investor"
187,defensive open market operation,عملیات بازار باز تدافعی
188,defensive strategy,راهبرد تدافعی
189,delivery against payment (DAP),تحویل در برابر پرداخت (تحویل اوراق بهادار هم‌زمان با پرداخت وجه آن)
190,delivery month,ماه تحویل
191,delivery period,"دورۀ تحویل
مترادف delivery time "
192,density forecasting approach,رویکرد پیش‌بینی چگالی
193,deposit rich bank,بانک‌‌های پرسپرده
194,depository institutions,نهادهای سپرده‌پذیر
195,depository transfer checks,"چک‌های انتقالی سپرده‌گذاری (از بانک‌های محلی به بانک‌های متمرکز)
← concentration banking"
196,derivative instrument ,"ابزار مشتقه
مترادف derivative security"
197,direct lending,"وام‌دهی مستقیم (بدون واسطه)
مقابل  indirect lending"
198,discounted cash flow valuation,"ارزشیابی بر اساس جریان نقدی تنزیل‌شده 
← relative valuation"
199,discounted payback period method,روش دورۀ برگشت سرمایۀ تنزیل‌شده (تصمیم‌گیری مالی)
200,discriminant analysis,تحلیل افتراقی
201,disposition effect,اثر تمایلی
202,distribution fee,کارمزد سالیانه (صندوق‌های سرمایه‌گذاری مشترک)
203,dividend payment date ,تاریخ پرداخت سود سهام
204,dividend policy,سیاست تقسیم سود سهام
205,documents against acceptance,اسناد حمل در برابر پذیرش
206,documents against payments,اسناد حمل در برایر پرداخت
207,domestic market,بازار داخلی
208,dot.com,سهام دات‌کام (سهام شرکت‌های نرم‌افزاری که در اواخر قرن بیستم بورس را دچار بحران کرد)
209,double-entry bookkeeping,دفترداری دوطرفه
210,downside deviation,"انحراف رو به پایین
مقابل upside deviation
← downside risk"
211,downside movements,"حرکات رو به پایین
مقابل upside movements"
212,downside volatility ,"تلاطم رو به پایین
مقابل upside volatility"
213,Du Pont,دوپون (شرکت بیش‌رشته‌ای امریکایی)
214,dummy variable,متغیر بدلی
215,duration ,"دیرش (معیار اندازه‌گیری حساسیت قیمت اوراق قرضه به تغییرات نرخ بهره)
کوتاه‌شدۀ duration gap"
216,dynamic conditional correlation (DCC),مدل‌های همبستگی شرطی پویا
217,dynamic hedging,ریسک‌پناهی پویا (ایجابی در زمان انتظار نوسانات نامناسب ارزی و سلبی در زمان انتظار نوسانات مناسب)
218,dynamic hedging,ریسک‌پناهی پویا
219,dynamic open market operations,"عملیات بازار باز پویا
مقابل defensive open market operations"
220,earnings before interest and taxes (EBIT),"عایدی قبل از بهره و مالیات 
مترادف operating income, operating profit"
221,"earnings before interest, taxes, depreciation and amortization (EBITDA)",عایدی قبل از بهره، مالیات و انواع استهلاک (دارایی‌های ثابت و نامشهود، بدهی)
224,economic capital,سرمایۀ اقتصادی
225,effective yield,بازدۀ مؤثر 
226,efficiency seeking investment,سرمایه‌گذاری کارایی‌جو 
227,efficient - market hypothesis (EMH),فرضیۀ بازار کارآ
228,efficient convexity,تحدب کارآ
229,efficient diversification,تنوع‌ کارآ
230,efficient set ,"مجموعۀ کارآ
مترادف  efficient frontier"
231,efficient set theorem,قضیۀ مجموعۀ کارآ
232,elasticity of substitution,کشش جایگزینی
233,electronic trading,معاملات الکترونیکی 
234,embedded option,اختیار معاملۀ تبعی
235,emerging market stocks,سهام بازار نوظهور
236,E-mini futures,قراردادهای آتی کوچک الکترونیک
237,emotional intelligence ,هوش هیجانی
238,endowment bias ,"سوگیری خودداشته
مترادف endowment effect "
239,English auction,حراج انگلیسی
240,enterprise risk management,مدیریت ریسک بنگاه
241,enterprising investor,"سرمایه‌گذار جسور
مترادف  active investor
مقابل   defensive investor, passive investor"
242,equal weighting index ,"شاخص هم‌وزن (نظیر شاخص ترکیبی ولیولاین)
← market index"
243,equilibrium exchange rate,نرخ ارز تعادلی
244,equity injection,تزریق سرمایه
245,equity risk,ریسک حق مالی
246,equity swap,"سوآپ سهام
"
247,equivalent annual cost (EAC),هزینۀ معادل سالانه (ارزش فعلی هزینه‌های پروژه)
248,erosion ,"سایش (تأثیر منفی راه‌اندازی محصول جدید روی جریان نقدی محصول موجود)
← cannibalization"
249,error-driven volatility ," تلاطم ناشی از خطا (واکنش بیشتر یا کمتر از حد قیمت سهام به وقایع واقعی اقتصادی)
← event-driven volatility   "
250,Eurex Exchange (EUREX),یورِکس (بزرگ‌ترین بازار آتی و مشتقۀ اروپایی موسوم به بورس اوراق مشتقۀ اروپایی) 
251,Euro market,بازار اروپایی (بازار فراساحل اوراق بهادار بلندمدت)
252,Eurobanks,"بانک‌های اروپایی
← Eurocurrency market"
253,Eurobond,اوراق قرضۀ اروپایی (به پول‌ ملی ناشر اما خارج از بازار داخلی ناشر)
254,Eurocurrency market,"بازار پول اروپایی
مترادف Euromoney"
255,Eurodollar certificate of deposit,"گواهی سپردۀ یورو دلار 
کوتاه‌شده: Euro CDs"
256,Eurodollar deposits,سپردۀ یورودلار
257,Eurodollar interbank market,بازار بین‌بانکی یورودلار
258,European option ,اختیار معاملۀ اروپایی
259,event - driven volatility,"تلاطم ناشی از رویداد (واکنش قیمت سهام به اخبار اقتصادی)
← error-driven volatility"
260,event risk,ریسک رویداد
261,excess reserves,"اندوختۀ‌ مازاد (اضافه بر اندوختۀ قانونی بانک‌ها نزد بانک مرکزی)
← required reserves"
262,excess speculation,فراسفته‌بازی
263,exchange rate premium,صرف نرخ ارز
264,exogenous shock,شوک برون‌زا
265,expectation theory,نظریۀ انتظار (تأثیر انتظارات ناظر بر اطلاعات جدید راجع به شرکت روی قیمت سهام آن)
266,expectation theory of the currency structure ,"نظریۀ انتظاری ترکیب ارز (بی‌تفاوتی وام‌دهندگان و وام‌گیرندگان نسبت به نوع ارز)
← implicit forward exchange rate"
267,expected spot price,قیمت تحویل آنی مورد انتظار
268,expected yield ,"بازدۀ مورد انتظار 
مقابل   promised yield"
269,explanatory variables,متغیرهای توضیحی
270,explicit interest,"بهرۀ عینی (قراردادی)
←  implicit interest"
271,exponential rate of decay,نرخ زوالِ نمایی
272,exponentially weighted moving average (EWMA),میانگین متحرک موزون نمایی
273,exposure,پهنۀ ریسک
274,extended credit ,"اعتبار ممتد (اعتبار بلندمدت‌تر اعطایی فدرال رزرو به بانک‌ها)
مقابل adjustment credit"
275,external market,"بازار خارجی
مقابل  domestic market"
276,externality,برون‌ریز (هزینه)
277,externally efficient market,"بازار کارآی بیرونی
مترادف  informational efficiency
مقابل   internally efficient market"
278,face value,ارزش صوری (مشهور به ارزش اسمی)
279,factor analysis,تحلیل عامل
280,factor models,مدل‌های عاملی
281,fair bid price ,بهترین قیمت خرید (بالاترین قیمت پیشنهادی برای خرید اوراق بهادار)
282,fair offer price,بهترین قیمت فروش (پایین‌ترین قیمت پیشنهادی برای فروش اوراق بهادار)
283,Fama and French,فاما و فرنچ
284,fat tail distribution,توزیع دم‌کلفت
285,fear of poverty,"فقرهراسی
← hope for riches"
286,Federal Home Loan Bank System ,نظام بانکی وام مسکن فدرال 
287,Federal Reserve System (FED),نظام فدرال رزرو (فد)
288,filtered historical simulation (FHS),شبیه‌سازی تاریخی پالایش‌شده
289,filtered probability space,فضای احتمال پالایش‌شده
290,finance company,"شرکت تأمین منابع مالی (غیر سپرده‌پذیر)
مترادف finance house
← captive finance company"
291,financial break - even,نقطۀ سربه‌سر مالی (ارزیابی پروژه)
292,financial derivatives,مشتقه‌های مالی
293,financial engineering,مهندسی مالی
294,financial hierarchy,سلسله مراتب مالی
295,financial investment,"سرمایه‌گذاری مالی
←  real investment"
296,Financial Market Infrastructures (FMIs),زیرساخت‌های بازار مالی
297,financial resilience ,تاب‌آوری مالی
298,financial resources ,منابع مالی
299,financial security ,امنیت مالی
300,financial structure,ساختار مالی
301,financial system efficiency ,کارایی نظام مالی
302,financialization,مالی‌سازی
303,financialization of commodities,مالی‌سازی کالاهای اساسی
304,first-order moving average,میانگین متحرک مرتبۀ اول
305,Fisher equation,معادلۀ فیشر (ارتباط نرخ بهرۀ واقعی مورد انتظار با نرخ بهرﮤ اسمی و نرخ تورم مورد انتظار)
306,five Cs of credit,"پنج حرف ارزیابی اعتباری (capacity, capital, character, collateral, conditions)"
307,fixed - charge coverage ratio (FCCR),نسبت پوشش هزینه‌های ثابت (بهره، اجارۀ بلندمدت و امثال آن)
308,fixed - income instrument,ابزار درآمد ثابت
309,fixed - rate payer,"پرداخت‌کننده با نرخ ثابت (سوآپ)
مقابل floating - rate payer"
310,fixed markup over marginal cost,حاشیۀ سود ثابت مازاد بر هزینۀ نهایی
311,floating - rate payer,"پرداخت‌کننده با نرخ شناور (سوآپ)
مقابل  fixed - rate payer"
312,floating cost (flotation cost),هزینۀ انتشار (اوراق بهادار)
313,floor,کف (نرخ بهره، پذیره‌نویسی، قیمت‌گذاری، دستمزد، وام)
314,Forbes,فوربز (رسانۀ سرمایه‌گذاری، تجارت، فناوری، کارآفرینی و ...)
315,forecasting risk,"ریسک پیش‌بینی (تخمین اشتباهی جریان نقدی پروژه‌ها)
مترادف  estimation risk"
316,foreign developed market stocks,سهام بازار توسعه‌یافتۀ خارجی
317,forward  price / earnings ratio (P/E),نسبت قیمت به سود پیش‌بینی‌شده (قیمت جاری تقسیم بر سود پیش‌بینی‌شدۀ سال بعد)
318,forward contract,"قرارداد تحویل آینده (مبادلۀ قول با قول)
← hedge; replacement"
319,forward exchange rate,"نرخ ارز تحویل آینده
← forward trade"
320,forward forward contract,قرارداد تحویل آینده یورودلار 
321,forward rate,نرخ قرارداد تحویل‌آینده
322,forward trade,"معاملات ارزی تحویل آینده
مقابل  spot trade"
323,forward transaction,پیش‌معامله (توافق پیشاپیش طرفین قرارداد راجع به شرایط آن قبل از اجرا)
324,forward vertical FDI,"سرمایه‌گذاری مستقیم خارجی عمودی رو به بالا (بازار)
مقابل backward vertical FDI"
325,framing effect,اثر چارچوب  
326,framing error,خطای چارچوب
327,free lunch,ناهار مجانی (سود بدون ریسک)
328,frequency,فراوانی
329,funding,"۱. تأمین مالی مجدد
مترادف  refunding
۲. تأمین تعهدات (بازنشستگی یا طرح‌های رفاهی آینده) 
۳. تأمین مالی (از طریق اوراق قرضه)
۴. تأمین مالی پروژه"
330,futures contract specifications,مشخصات قرارداد آتی
331,futures curve,"منحنی قیمت تحویل آینده
مترادف forward price curve"
332,futures market efficiency ,کارآیی بازار آتی
333,futures price ,قیمت آتی
334,futures price as a leading indicator,قیمت آتی به منزلۀ شاخص مقدم
335,futures price spread,دامنک قیمت آتی
336,futures rate,نرخ آتی
337,gambler's ruin,پاکباختگی قمارباز (آمار احتمالات)
338,gap analysis ,تحلیل شکاف (مقایسۀ عملکرد واقعی نسبت به مورد انتظار)
339,gauge theory,نظریۀ پیمانه
340,generalized spectral approach,رویکرد طیف تعمیم‌یافته (آزمون تحلیل قراردادهای آتی)
341,generalized spectral test,آزمون طیف تعمیم‌یافته
342,geometric mean,"میانگین هندسی
مترادف  geometric return
مقابل  arithmetic mean"
343,good bank - bad bank separation,تفکیک بانک خوب از بد (روش حل‌وفصل بحران بانکی)
344,government bonds,قرضه‌های دولتی
345,Greek risk measures,سنجه‌های ریسک یونانی
346,green shoe provision,"شرط پذیره‌نویسی اضافی
مترادف  overallotment option"
347,greenfield investment,سرمایه‌گذاری از روی زمین
348,hedge / hedging,ریسک‌پناهی
349,hedger,ریسک‌پناه
350,hedging,ریسک‌پناهی
351,herding behavior,رفتار رمه‌ای
352,heuristic  shortcuts,"میان‌برهای مکاشفه‌ای
← intuition"
353,hidden Markov model (HMM),مدل مارکوف پنهان
354,high frequency trade (HFT),معاملات برنامه‌ای سفارش‌های پرشمار پرسرعت
355,high growth rate,نرخ رشد بالا
356,high minus low  (HML),"   (عملکرد بهتر سهام ارزشی نسبت به سهام رشدی (راهبرد سرمایه‌گذاری  
 capital asset pricing model (CAPM) ← "
357,hindsight bias,سوگیری پس‌گویی
358,historical based approach,رویکرد تاریخ‌محور
359,historical simulation,"شبیه‌سازی تاریخی 
← value at risk"
360,historical standard deviation,انحراف معیار تاریخی
361,historical volatility,تلاطم تاریخی
362,holding period return,"بازدﮤ دورۀ نگهداری
خلاصه‌شده: return"
363,holding period return ,بازدۀ دورۀ نگهداری (دارایی، سبد سرمایه‌گذاری)
364,home bias ,سوگیری میهن‌دوستی (مالی رفتاری)
365,homemade dividend policy,"سیاست سود سهام شخصی
مقابل corporate dividend policy"
366,homemade leverage,اهرم شخصی
367,hope for riches ,"در آرزوی ثروت
← fear of poverty"
368,horizontal FDI,سرمایه‌گذاری مستقیم خارجی افقی
369,hot hands,با دستان داغ (پیش‌بینی بازار آینده با استفاده از بازدهی گذشته مرتبط با صندوق‌های با بازدۀ بالا)
370,hybrid trading system,سامانۀ معاملاتی ترکیبی
371,hypothecation agreement,"قرارداد وثیقه‌گذاری (مجوز مشتری به کارگزار به ‌منظور توثیق اوراق بهادار نزد او به عنوان وثیقۀ وام بانکی)
←  margin account"
372,icy hands,با دستان یخی (پیش‌بینی بازار آینده با استفاده از بازدهی گذشته مرتبط با صندوق‌های با بازدۀ پایین)
373,ideal market,بازار ایده‌آل (قیمت‌های منصفانه)
375,illusion of control bias,سوگیری توهم کنترل
376,implicit forward exchange rate,نرخ ارز تحویل آیندۀ ضمنی 
377,implicit forward rate,نرخ ضمنی تحویل‌آینده
378,implicit interest,بهرۀ ضمنی (خدمات بدون هزینۀ بانک به سپرده‌گذاران)
379,implied volatility based approaches,رویکردهای مبتنی بر تلاطم‌ ضمنی
380,impulsive and addictive behavior,رفتار تکانشی و عادتی
381,impulsiveness,تکانش‌گری
382,income test,آزمون درآمد (استطاعت مالی متقاضیان وام رهنی)
383,independent projects,"پروژه‌های مستقل
مقابل   mutually exclusive projects"
384,indirect investment,سرمایه‌گذاری غیرمستقیم
385,indirect lending,وام‌دهی غیرمستقیم 
386,inefficient portfolio,"سبد ناکارآ
مقابل  efficient portfolio"
387,inflation premium,صرف تورم
388,information asymmetry,عدم‌تقارن اطلاعاتی
389,information cost,هزینۀ اطلاعات
390,information theory,نظریۀ اطلاعات
391,information trader,"معامله‌گر اطلاعاتی (تقارن اطلاعاتی) 
← liquidity trader"
392,informational efficiency,کارآیی اطلاعاتی
393,informational efficiency ,کارایی اطلاعاتی (انعکاس دقیق اطلاعات در قیمت‌های اوراق بهادار)
394,initial outlay,"مخارج سرمایه‌ای
کوتاه‌شدﮤ initial investment outlay"
395,initial public offering (IPO),"عرضۀ عمومی اولیه
مترادف  unseasoned offering
← general cash offer"
396,initial wealth,"ثروت اول دوره
مقابل terminal wealth"
397,instability of price levels,بی‌ثباتی سطح قیمت‌ها
398,institutionalization,نهادی‌شدن
399,integrated and holistic approach,رویکرد یکپارچه و کل‌گرا
400,integrated financial system,نظام مالی یکپارچه
401,interbank rate,نرخ بین‌بانکی
402,interest expense,"مخارج بهره
← cost of debt financing"
403,interest rate differential,تفاوت نرخ بهره
