,persian,english
20,سازمان حسابداري و حسابرسي نهادهاي مالي اسلامي ,Accounting and Auditing Organization for Islamic Financial Institutions - AAOIFI
21,"هيأت تدوين اصول حسابداري
 Financial Accounting Standard Board - FASB
",Accounting Principles Board - APB
22,حساب مغايرت (صورت حساب بانكي) ,account reconciliation
23,"حساب‌هاي پرداختني
 trade credit",account payable
24,"تأمين مالي با پشتوانه حساب‌هاي دريافتني
 factoring
",accounts receivable financing
25,"صورت حساب، صورت حساب بانكي، صورت حساب كارگزاري
	صورت حساب>
	صورت حساب بانكي (مترادف bank statement)>
	صورت حساب كارگزاري>
</ol>",account statement
26,سرمايه‌گذار معتبر ,accredited investor
27, financial planner ,accredited personal financial planning specialist
28,"رشد (دارايي، قيمت اوراق قرضه با كسر)

",accretion
29,"مبناي تعهدي (روش حسابداري)
 cash basis",accrual basis
30,"قرضه با بهره متراكم
مترادف zero-coupon bonds
 zero-coupon securities",accrual bonds
31,"پاداش پايان خدمت (بازنشستگي)
 vesting",accrued benefits
32,"بهره متعلق
بهره متعلق (فاصله زماني بين آخرين زمان پرداخت بهره و فروش اوراق قرضه يا ساير اوراق بهادار با درآمد ثابت)",accrued interest
33,"افزايش متراكم ارزش قرضه تنزيلي
 discount bond",accrued market discount
34, broker recommendation (or opinions of ratings),accumulate
35,"محاسبه پاداش انباشته بازنشستگي
محاسبه پاداش انباشته بازنشستگي (كاركنان در شرف خاتمه خدمت)
 projected benefit obligation - PBO",accumulated benefit obligation - ABO
36,"سود سهام انباشته
 cumulative preferred",accumulated dividend
37,"ماليات بر سود انباشته
مترادف accumulated earnings tax",accumulated profits tax
38,"سرمايه‌اي كردن، نرم‌خري، انباشت
	[مالي شركت‌ها] سرمايه‌اي كردن (سود)>
	[سرمايه‌گذاري] نرم‌خري (متضاد distribution)>
	[صندوق‌هاي سرمايه‌گذاري] انباشت (سرمايه‌گذاري منظم و بازسرمايه‌گذاري سود و عايدي سرمايه‌اي)>",accumulation
39,"دامنه خريد (سهام)

 distribution area

",accumulation area
40,"نسبت آني
 quick ratio",acid test ratio
41,"تصديق، اعلام وصول
	تصديق (مجاز بودن امجاي صند بانكي يا كارگزاري)>
	اعلام وصول (انتقالات بانكي و بين كارگزاري)>
</ol>",acknowledgment
42,"مازاد كسب‌شده (خريد شركت)
",acquired surplus
43,"قيمت تمام‌شده تملك، قيمت تمام‌شده خريد
	[مالي] قيمت تمام‌شده تملك (شركتف مستغلات)>
	[سرمايه‌گذاري] قيمت تمام‌شده خريد (اوراق بهادار، صندوق سرمايه‌گذاري با كارمزد).>
</ol>",acquisition cost
44,مفاصاحساب ,acquittance
45,حركت همسو (بازار سهام) ,across the board
46,اقدام هماهنگ (سرمايه‌گذاري) ,acting in concert
47,حساب فعال (بانك/كارگزاري) ,active account
48,مانده فعال ,active balance
49,"معامله‌گران اوراق قرضه پرمشتري
 cabinet crowd",active bond crowd
50,"صندوق كارگزاري صندوق كارگزاري (محل نگهداري اوراق بهادار كارگزار يا وثيقه مشتري‌ها)
مترادف open box",active box
51,"	مديريت فعال (صندوق سرمايه‌گذاري مشترك) متضاد passive management>
	خريد و فروش به‌جاي خريد و نگهداري (اوراق قرضه)>
</ol>",active management
52,بازار فعال ,active market
53,"پول رايج
مترادف money in circulation",active money
54,"كالاهاي واقعي
",actuals
55,بيمه‌سنجي,actuary
56,آزمون سقف انتشار اوراق قرضه ,additional bond test
57, paid-in capital additional ,additional paid-in capital
58,آزمون كفايت پوشش ,adequacy of coverage
59,بيمه عمر تعديل‌پذير ,adjustable life insurance
60,روش مانده تعديل‌شده ,adjusted balance method
61,"مبناي تعديلمبناي تعديل (عايدي يا زيان سرمايه‌اي)
",adjusted basis
62,ارزش دفتري تعديل يا اصلاح‌شده ,adjusted (or modified) book value
63,قيمت اعمال تعديل‌شدهقيمت اعمال تعديل‌شده (قرارداد اختيار),adjusted exercise price
64,اوراق قرضه جايگزين (شركت در معرض ورشكستگي),adjustment bond
65,"تاريخ تعديل (نرخ بهره وام رهني بهره متغير)
 adjustable rate mortgage - ARM",adjustment date
66,درآمد ناخالص تعديل‌شده درآمد ناخالص تعديل‌شده (جمع كل حقوق و دستمزد دريافتي، سود سهام، بهره، عايدي سرمايه‌اي، سود فعاليت‌هاي تجاري، و غيره منهاي تعديل‌هاي مجاز در محاسبه ماليات اشخاص),adjusted gross income
67,"	مدير (به‌طور كلي)>
	مدير تركه>
</ol>",administrator
68,برحسب ارزشبرحسب ارزش (ماليات يا عوارض كالاهاي وارداتي),ad valorem - according to value
69,"	افزايش شاخص (بورس)>
	پيش‌پرداخت (تجارت)>
	مساعده (حقوق و دستمزد)>
</ol>",advance
70,نسبت فراز ـ فرود (ف ـ ف) ,advance-decline -A-D
71,سامانه پيشرفته پايش معاملاتسامانه پيشرفته پايش معاملات (انجمن ملي معامله‌گران اوراق بهادار امريكا),advanced detection system
72,صندوق بازنشستگي پيش‌تأمين متضاد unfunded pension plan,advanced funded pension plan
73,بازتأمين وجوه پيش از موعد بازتأمين وجوه پيش از موعد (تعويض اوراق بهادار موجود با اوراق بهادار جديد),advance refunding
74,نظر مخالفنظر مخالف (حسابرس),adverse opinion
75,مشاوره‌نامه (مالي),advisory letter
76,سوگندنامه ,affidavit
77,سوگندنامه محل اقامت (متوفي),affidavit of domicile
78,وابسته (شركت),affiliate
79,شركت وابسته,affiliated corporation
80,"شخص صاحب نفوذ
مترادف control person",affiliated person
81,"تعهدات ايجابي
تعهدات ايجابي (بازارگردان‌هاي نزدك)",affirmative obligations
82,شاخص استطاعت (مالي),affordability index
83,"شرط وثيقه اضافي
شرط وثيقه اضافي (قرارداد رهن)",after acquired clause
84,"معاملات اوراق بهادار بعد از ساعت اداري
 make a market",after-hours dealing or trading
85,"معاملات بعد از عرضه اوليه
 secondary market",aftermarket
86,مبناي مقايسه مالياتي (بازده اوراق قرضه ماف از ماليات و اوراق قرضه مشمول ماليات),aftertax basis
87,نرخ بازده واقعي بعد از ماليات,aftertax real rate
88,"به پشتوانه صندوق كارگزاري
 selling short against the box",against the box
89,قرارداد تسويه‌نشده (معامله‌گران/كارگزاران),aged fail
90,"	[به‌طور كلي] نمايندگي>
	[مالي] 2-1. كارگزاري (بانك‌ها و شركت‌هاي كارگزاري) 2-2. نيابت (مؤسسات متولي)>
	[سرمايه‌گذاري] واسطه‌گري>",agency
91,هزينه‌هاي نمايندگي,agency costs
92,اوراق بهادار نهادهاي تحت حمايت (دولت امريكا),agency securities
93,كل قيمت اعمال (اختيار معامله سهام),aggregate exercise price
94,"صندوق سرمايه‌گذاري مشترك رشد پرريسك
مترادف maximum capital gains funds, capital appreciation funds",aggressive growth mutual fund
95,جدول زمان‌بندي (حساب‌هاي دريافتني),aging schedule
96,قرارداد بين پذيره‌نويسان (شركت‌هاي تأمين سرمايه واسطه فروش اوراق بهادار تازه منتشر شده),agreement among underwriters
97,American Institute of Certified Public Accountants,AICPA
98,Alternative Investment Market,AIM
99,سهام چاه هوايي,air pocket stock
100,"شركت خارجي
مترادف foreign corporation",alien corporation
101,عضو وابسته (بورس نيويورك),allied member
102,عضو وابسته (بورس نيويورك),alligator spread
103,"نرخ بهره تمام‌شده (ناشران اوراق بهادار)
كوتاه‌شده all included",all in
104,همه يا هيچ (پذيره‌نويسي، سفارش خريد يا فروش اوراق بهادار),all or none-AON
105, exotic options,all-or-nothing option
106,"
شاخص موزون ارزش بازار (500 شركت بزرگ پذيرفته‌شده در بورس استراليا)",All Ordinaties Index
107,تخصيص (سهميه اوراق بهادار هريك از اعضاي سنديكاي پذيره‌نويسي),allotment
108,ضريب آلفا (ريسك غير نظام‌مند),alpha
109,"سهام الفبايي
مترادف tracking stock",alphabet stock
110,بخش فرعي بورس اوراق بهادار لندن,Alternative Investment Market-AIM
111,"سفارش گزينه‌اي (با اين يا آن)
مترادف either-or order, one cancels the other order",alternative order
112,اصلاحيه (سند قانوني),amendment
113,انجمن سرمايه‌گذاران حقيقي امريكا,American Association of Individual Investors-AAII
114,انجمن شركت‌هاي بازرگاني امريكا (مركب از ABC سابق و APTC),American Business Conference-ABC
115,گواهي سپرده سهام نزد بانك‌هاي امريكا,American Depositary Receipt-ADR
116,سهام سپرده نزد بانك‌هاي امريكا,American Depositary Share-ADS
117,"انجمن حسابداران رسمي امريكا
 Generally Accepted Accounting Principles-GAAP",American Institute of Certified Public Accountants-AICPA
118,بورس اوراق بهادار امريكا (امكس),American Stock Exchange-Amex
119,"اختيار معامله امريكا
 European-style exercise",American-style option
120,استهلاك (دارايي‌هاي نامشهود، بدهي),amortization
121,آمپز (سهام ممتاز بازار حراج، محصول مريل لينچ),AMPS-Auction Market Preferred Stock
122,"تحليل‌گر
 accrual interest",analyst
123,قيمت با بهره (اوراق قرضه),and interest
124,"معتبر، سرمايه‌گذار حقيقي
1. معتبر (اوراق قرضه)
متضاد fallen angel
 investment grade
2. سرمايه‌گذار حقيقي (سرمايه مخاطرآميز)
 venture capital",angel
125,"سهام ريز و تيز
سهام ريز و تيز (شركت‌هاي كوچك)
ankle bitterسهام ريز و تيز",ankle bitter
126,سال پايه (تكنيك آماري سالانه‌كردن دوره‌هاي كوتاه‌تر),annual basis
127,معافيت‌هاي سالانه (ماليات),annual exclusion
128,صورت‌حساب ساليانه رهن,annual mortgage statement
129,سالانه‌كردن,annualize
130,"مجمع عمومي عادي
مترادف annual stockholder's meeting",annual meeting
131,"درصد نرخ بهره ساليانه (وام مصرفي)
 Consumer Credit Protection Act of 1968",annual percentage rate-APR
132, term life insurance,annual renewable tern insurance
133,گزارش سالانه,annual report
134,بازده سالانه,annual return
135,مستمري‌بگير,annuitant
136,مستمري به‌مدت معين,annuity certain
137,زمان دريافت مستمري,annuity starting date
138,دوره نگهداري مورد انتظار,anticipated holding period
139,پرداخت پيش از موعد (بدهي، صورت‌حساب),anticipation
140,"ضد رقت (تأثير تبديل بر سود هر سهم)
 dilution",antidilutive
141,قانون مبارزه با پولشويي ايران (مصوب 2 بهمن 1386),Anti Money Laudary Law-AML Law
142,"پيشنهاد خريد با قيمت واحد
متضاد two tier bid
 takeover",any and all bid
143,حق استرداد در سررسيدهاي پرداخت بهره,any interest date call
144,حق ارزشيابي (زمين و ساختمان),appraisal fee
145,"	افزايش ارزش (دارايي)>
	تقويت (ارزش پول توسط بازار)>
</ol>",appreciation
146,"فهرست مجاز (سرمايه‌گذاري)
 legal list",approved list
147,اپز (سهام ممتاز حراج هلند، محصول گلدمن ساكس),APS-auction preferred stock
148, Association of Publicly Traded Companies,APTC
149,اوراق قرضه آربيتراژي,arbitrage bonds
150,نظريه قيمت‌گذاري آربيتراژ,arbitrage pricing theory-APT
151,آربيتراژكننده,arbitrageur
152,"داوري

arbitrationداوري",arbitration
153,هيأت داوري,arbitration panel
154,ميانگين حسابي,arithmetic mean
155,"
شاخص آرمز (ريچارد آرمز)",Arm's Index
156,معامله غريبه‌وار,arm's length transaction
157,معوق (بهره اوراق قرضه و سود سهام ممتاز با سود انباشته),arrearage
158,معوق (اقساط بدهي),arrears
159,اظهارنامه تأسيس (شركت),articles of incorporation
160,پول بدلي,artificial currency
161,"روند صعودي (بازار خيزان اوراق بهادار)
 descending tops",ascending tops
162,"اختيار معامله آسيايي
مترادف average rate option",Asian option
163,"1. قيمت درخواستي (كالا يا اوراق بهادار)
مترادف offering price, the ask price, asking price, ask
2. قيمت درخواستي (واحدهاي صندوق سرمايه‌گذاري مشترك)",asked price
164,تعيين عيار (درجه خلوص فلزات براي معامله در بورس كالا),"assay
"
165,ارزش‌ياب,assessor
166,تخصيص دارايي,asset allocation
167,صندوق سرمايه‌گذاري مشترك تخصيص دارايي,asset allocation mutual fund
168,دارايي,asset
169,اوراق بهادار با پشتوانه دارايي,asset backed securities-ABS
170,اصل ضرورت عيني‌بودن دارايي مبنا (يكي از اصول پنج‌گانه مالي اسلامي),asset backing principle-the
171,طبقه دارايي (نقد، اوراق قرضه، سهام، دارايي‌هاي مشهود نظير مستغلات),asset class
172,حد شمول دارايي,asset coverage
173,مديريت دارايي ـ بدهي,asset liability management
174,عدم‌تطبيق دارايي ـ بدهي,asset liability mismatch
175,سهام دارايي كشش,asset play stocks
176,تبديل دارايي‌ها به اوراق بهادار,asset securitization
177,اوراق‌چي دارايي,asset stripper
178,دارايي‌هاي تحت مديريت (سبدگردان),asset under management-AUM
179,ارزش دارايي,asset value
180,افزايش ارزش دارايي‌ها,asset value appreciation
181,"	واگذاركردن>
	حواله‌كردن>
</ol>",assign
182,"	واگذارشونده (منتقل‌اليه)>
	محال‌عليه>
</ol>",assignee
183,"	واگذاري>
	حواله>
</ol>",assignment
184,"جذب كامل (پذيره‌نويسي)
 absorbed",assimilation
185,عضو وابسته (نزدك),associated person
186,انجمن مديريت و تحقيقات سرمايه‌گذاري (آيمر),Association fo Investment Management and Research-AIMR
187,"انجمن شركت‌هاي سهامي عام
 American Business Conference-ABC",Association of Publicly Traded Companies-APTC
188,اوراق قرضه عهده غيرناشر,assumed bond
189,نرخ بهره مفروض (شركت‌هاي بيمه پرداخت‌كننده مستمري),assumed interest rate
190,تقبل بدهي (به عهده‌گرفتن مسئوليت بدهي غير),assumption
191,"بي‌قرينگي (اطلاعات، ماليات، تلاطم بازار)
 Fed bias",asymmetry
192,دستگاه خودرپرداز,ATM-automatic teller machine
193,برنامه معاملاتي آربيتراژ,ATP-arbitrage trading program
194,"به قيمت اسمي
 par value",at par
195,"در معرض زيان

",at risk
196,بورس اوراق بهادار آتن,Athens Stock Exchange-ASE
197,سن احراز,attained age
198," market order

at the market market order",at the market
199,سفارش به قيمت آغازين (اوراق بهادار، ابزار مشتقه),at the opening order
200,بازار حراج,auction market
201,سهام ممتاز بازار حراج (محصولي از مريل لينچ),Auction Market Preferred Stock-AMPS
202," Dutch Auction Preferred Stock

auction rate preferred stock Dutch Auction Preferred Stock",auction rate preferred stock
203,حسابرسي,audit
204,"گزارش حسابرس
مترادف accountant's opinion",auditor's report
205,زنجيره عطف (حسابرسي),audit trail
206,عوام (اشاره حرفه‌اي‌هاي وال‌استريت به سرمايه‌گذاران مبتدي و ساده‌انگار),Aunt Millie
207,k,Australian Securities Exchange
208,تأييد (امضاء، اسناد و مدارك),authentication
209,اوراق قرضه بنگاه‌هاي عمومي,authority bond
210,"سهام مجاز
مترادف authorized stock",authorized shares
211,سامانه معاملاتي اوراق قرضه غيرفعال (بورس نيويورك),Automated Bond System-ABS
212,اتاق پاياپاي خودكار امريكا (بانك‌هاي عضو),Automated Clearing House-ACH
213,سرويس تأييد خودكار معاملات (نزدك),Automated Confirmation Transaction (ACT) Service
214,تمديد خودكار (ثبت اظهارنامه مالياتي),automatic extension
215,انتقال خودكار وجوه,automatic funds transfer
216,برنامه سرمايه‌گذاري خودكار,automatic investment program
217,تثبيت‌كننده‌هاي خودكار (اقتصادي),automatic stabilizer
218,پرداخت خودكار (سود صندوق‌هاي سرمايه‌گذاري مشترك),automatic withdrawal
219," uncollected funds

availability float uncollected funds",availability float
220,ميانگين,average
221,ميانگين قيمت تمام‌شده (خريد سهام),average cost-investing
222,مانده ميانگين روزانه (روش محاسبه بهره),average daily balance
223,ميانگين كاهشي (خريد سهام با هدف كاهش ميانگين قيمت تمام‌شده),average down
224,ميانگين موجودي مشتري (نزد كارگزاري),average equity
225,ميانگين عمر (بدهي),average life
226,ميانگين سررسيد (سبد صندوق سرمايه‌گذاري مشترك),average maturity
227,"ميانگين نرخ بازده (سرمايه‌گذاري، مالي شركت‌ها)
 rate of return",average rate of return
228," Asian option

average rate option Asian option",average rate option
229,ميانگين سهام موجود,average shares outstanding
230,"ميانگين افزايشي (خريد سهام با هدف دستيابي به قيمت تمام‌شده كمتر از قيمت روز)
متضاد: average down",average up
231,ميانگين‌گيري,averaging
232,خارج از محدوده بازار,away from the market
233,شركت با شركت (معاملات الكترونيكي),b2b-business to business
234,شركت با مصرف‌كننده (معاملات الكترونيكي),b2c-business to customer
235,"كارمزد فروش پسين (صندوق‌هاي سرمايه‌گذاري مشترك)
مترادف contingent deferred sales load, redemption change, exit fee
 mutual fund share classes",back end load
236,سفارش‌هاي معوق,backlog
237,"دورترين سررسيد (اختيار معامله و آتي)
 furthest month",back months
238,"واحد پشتيباني (امور دفتري شركت‌هاي بيمه و كارگزاري اوراق بهادار)
متضاد front office",back office
239,ماليات‌هاي معوق,back taxes
240,پس‌آزمايي,back-testing
241,وارونگي (روند بازرا سهام),back up
242,خط اعتباري پشتيبان,back up line
243,"1. پس‌سويي (قيمت‌ها در بازار كالا و ارز)
 contango
2. خسارت ديركرد (بورس اوراق بهادار لندن)",backwardation
244,تملك وارونه,backward integration
245,چك بي‌محل,bad check
246,مطالبات سوخت‌شده,bad debt
247,وام لاوصول,bad loan
248,"مالكيت مخدوش
مترادف cloud on title",bad title
249, discounting the news,baked in the cake
250,صندوق سرمايه‌گذاري متوازن,balanced mutal fund
251,موازنه پرداخت‌ها,balance of payments
252,الگوي موازنه پرداخت‌ها,balance of payment model
253,موازنه تجاري,balance of trade
254,"صورت موازنه ريسك
 Fed bias",balance of risks statement
255,ترازنامه,balance sheet
256,بودجه متوازن,balanced budget
257,"عمده قسط (وام)
مترادف partially amortized loans",balloon
258,بهره عمده قسط,balloon interest
259,عمده قسط در سررسيد,balloon maturity
260,"ممنوعيت تأمين مالي فعاليت‌هاي اقتصادي حرام
(يكي از اصول پنج‌گانه مالي اسلامي)",ban on financing certain economic sectors
261,"ممنوعيت بهره
(يكي از اصول پنج‌گانه مالي اسلامي)",ban on interest-the
262,ممنوعيت عدم‌قطعيت (قراردادها) يا سفته‌بازي,ban on uncertainty or speculation
263,"مبناي تنزيل بانكي
(360 روز، هر ماه 30 روز)
 discount yield",bank disount basis
264,"بانك

bankبانك",bank
265,حواله بانكي,bank draft
266,شركت هلدينگ بانكي,bank holding company
267,"صندوق بيمه بانك‌ها
(تحت مديريت شركت بيمه سپرده فدرال امريكا FDIC)",Bank Insurance Fund-BIF
268,قرارداد سرمايه‌گذاري با ضمانت بانكي,bank investment contract
269,"قرار و مدار بانك
(قبضه مالكيت)",bankmail
270," investment grade

bank quality investment grade",bank quality
271,ورشكستگي,bankruptcy
272,خط اعتباري بانك,bank line
273,بخش توليت بانكي,bank trust department
274,"سبد اوراق بهادار هالتري
(سبد كلاً اوراق قرضه بلندمدت و كوتاه‌مدت و جزئاً اوراق قرضه ميان‌مدت)",barbell portfolio
275,بورس‌باز مال‌باخته,barefoot pilgrim
276,"گروه چانه‌زني
(اتحاديه‌هاي كارگري)",bargaining unit
277,"چوب خط
(مخارج مصرفي، نرخ بهره، شاخص داوجونز صنعتي، استاندارد اند پورز، و ...)",barometer
278,"تحليل عملكرد بارا
(سبدگردان)",Barra's Performance Analysis-PERFAN
279,"اختيار معامله با مانع
 exotic options",barrier options
280,"موانع ورود

(عرصه رقابت)

",barriers to entry
281,شاخص اطمينان بارونز,Barron's Confidence Index
282,"تهاتر
(بدون پول)",barter
283,"ارز پايه
(مبناي ارزيابي عملكرد سبد سهام بين‌الملل)",base currency
284,"ارزش بازارپايه
(شاخص‌گذاري اوراق بهادار)",base market value
285,"دوره پايه
(معيار زماني سنجش اطلاعات اقتصادي)",base period
286,"نرخ پايه
 cost-of-funds index - COFI",base rate
287,كميته نظارت بر بانكداري بازل,Basel Committee on Banking Supervision
288,"عايدي پايه هر سهم
 earnings per share",basic earnings per share
289," sector rotation

basic materials sector rotation",basic materials
290,حجم مبنا,basic volume
291,"پايه
(مبناي محاسبه عايدي يا زبان سرمايه‌اي، مابه‌التفاوت قيت نقدي ابزار بازار پول تأمين‌شده و قرارداد آتي)",basis
292,"نقطه پايه
(يك‌صدم يك درصد)",basis point
293,"قيمت پايه
 basis",basis price
294,"سبد
(سهام، معاملات شاخص)",basket
295,"افتان‌نگر
(بورس)
متضاد bull",bear
296," certificate of deposit - CD



bear CD certificate of deposit - CD",bear CD
297,"اوراق قرضه بي‌نام
 coupon bond",bearer bond
298,چك حامل,bearer check
299,اوراق بهادار بي‌نام,bearer form
300,سهام بي‌نام,bearer shares
301,"صندوق سرمايه‌گذاري افتان
 hedge funds",bear funds
302,قبضه مالكيت جذاب,bear hug
303,"بازار افتان
متضاد bull market",bear market
304,"تهاجم افتان
(فروشنده‌هاي عاريه‌اي)",bear raid
305,"دامنك افتان
 bull spread",bear spread
306,"تلفه افتادن
(فروشنده‌هاي عاريه‌اي)",bear trap
307,"سياست فقيركردن همسايه
(تجارت بين‌الملل)",beggar-thy-neighbor
308,"مالي رفتاري
(يا سرمايه‌گذاري)",behavioral finance-investing
309,"گزارش وضعيت اقتصادي
(هيأت فدرال رزرو)",beige book
310,"زنگ
(بورس)",bell
311,"جهت‌نما
(سهام)
مترادف barometer stock",bellwether
312,"زير ارزش اسمي
(سهام)
below par-sharesزير ارزش اسمي",below par-shares
313,نرخ مرجع,benchmark rate
314,"مالك واقعي
(در برابر مالك اسمي)
 street name",bebeficial owner
315,"ماترك
(اموالي كه با فوت موصي به وارث او مي‌رسد)",bequest
316,"اختيار معامله برمودا
(تركيبي از اختيار معامله اروپايي و امريكايي)
 exotic options",Bermuda option
317,"سعي بليغ
(پذيره‌نويسي)
 bought deal",best effort
318," exotic options

best of two option exotic options",best of two option
319,بهترين رويه,best practice
320,"رتبه‌بندي بست
(شركت‌هاي بيمه)",Best's rating
321,"ضريب بتا
كوتاه‌شده beta coefficient
 alpha",beta
322," exotic options

better of two options exotic options",better of two options
323,دامنك مناسب,better spread
324,قيمت‌هاي پيشنهادي و درخواستي,bid and asked
325,دامنك پيشنهادي ـ درخواستي,bid-asked spread
326,"نسبت پيشنهادهاي دريافتي به پذيرفته‌شده
(حراج اوراق خزانه)",bid to cover ratio
327,"اعلامه آمادگي فروش
(اوراق بهادار)
 offer wanted",bid wanted-BW
328,"بيگ‌بنگ
(مقررات‌زدايي از بازارهاي اوراق بهادار لندن در سال 1986)",Big Bang
329,"تالار بزرگ
(نام غيررسمي بورس نيويورك NYSE)",Big Board
330,"چهار سالار
(چهار شركت بزرگ حسابداري امريكا)",Big Four
331,كارگزار موفق,big producer
332,"گنده‌بك‌ها (سهام)
متضاد popular stocks",big uglies
333,چرخه ارسال صورت‌حساب,billing cycle
334,"برات
 draft",bill of exchange
335,"خريد اسناد خزانه
(توسط فدرال رزرو)
 Fed pass",bill pass
336,برات وصولي,bill for collection
337,الزام‌آور,binding
338,وام رهني با بازپرداخت دوهفتگي,bi-weekly mortgage loan
339,حسابداري جعبه سياه,black-box accounting
340,"جعبه سياه
(24 سپتامبر 1869)",Black Friday
341,"بازار سياه
black marketبازار سياه",black market
342,اخاذي,blackmail
343,"دوشنبه سياه
(19 اكتبر 1987)",Black Monday
344, derivative pricing models,Black-Scholes Option Pricing Model
345,"سه‌شنبه سياه
(29 اكتبر 1929 روز سقوط بزرگ، سرآغاز ركود بزرگ)",Black Tuseday
346,چك سفيد,blank check
347,عرضه اوليه شركت با فعاليت نامشخص,blank check offering
348,"ضمانت بيمه‌اي صداقت و امانت
(الزام شركت‌هاي كارگزاري به بيمه‌شدن در برابر سرقت، سوء استفاده تقلب، و اختلاس احتمالي كاركنان خود)
مترادف blanket bond",blanket fidelity bond
349,توصيه همگاني كارگزار,blanket recommendation
350,"نرخ بينابين
(تأمين مالي مجدد وام‌هاي رهني)",blended rate
351,صندوق سرمايه‌گذاري مختلط,blend fund
352,صندوق سرمايه‌گذاري كور,blind fund
353,صندوق اماني كور,blind trust
354,"پيشنهاد قيمت چشمگير
(قبضه مالكيت)",blitzkreig tender offer
355,"بلوك
(مقدار معتنابه سهام، اوراق قرضه به ارزش زياد)",block
356,موضع‌گيري بلوكي,block positioner
357,معاملات بلوكي,block trade
358,حساب مسدود,blocked account
359,"دوشنبه شوم
 Black Monday",Bloody Monday
360,"شير تخليه
(تحليل تكنيكال)",blow off top
361,"عرضه داغ
(عرضه اوليه اوراق بهادار)
مترادف hot issue, going away",blowout
362,"سهام درخشان
 gilt-edge security",blue chip
363,"بلو ليست
(نام نشريه وابسته به شركت سهامي استاندارد اند پورز، منتشركننده روزانه فهرست اوراق بهادار عرضه‌شده براي فروش)",Blue List
364,"قانون آسمان آبي
(حمايت از سرمايه‌گذاران اوراق بهادار در برابر كلاه‌برداري/امريكا)",Blue Sky Law
365,هيأت‌مديره,board of directors-BOD
366,هيأت رئيسه سيستم فدرال رزور,Board of Governors of the Federal Reserve System
367,"1. اتاق جلسات هيأت‌مديره

2. تالار كارگزاري (معاملات بورس)",board room
368,سهام بو درك (تمام‌عيار),Bo Derek stock
369,"الگو
(زبان حقوقي استاندارد مورد استفاده در قراردادها، وصيت‌نامه‌ها، اميدنامه‌ها، و ...)",boilerplate
370,"نوارهاي بولينگر
(تحليل تكنيكال)",Bollinger bands
371,بورس (به زبان اسپانيولي),Bolsa
372,بورس سانتياگو (شيلي),Bolsa de Commercio de Santiago-SSE
373,بورس مادريد,Bolsa de Madrid
374,بورس سائوپولو (برزيل),Bolsa de Valores de Sao Paulo-BOVESPA
375,بورس اوراق بهادار بمبئي,Bombay Stock Exchange Limited-BSE
376,اوراق قرضه,bond
377,سند بدهي از محل اوراق قرضه,bond anticipation note-BAN
378,كارگزار اوراق قرضه,bond broker
379,نشريه باند باير (آمارها و شاخص‌ها),"Bond Buyer, The"
380,شاخص اوراق قرضه شهرداري باند باير,Bond Buyer's Municipal Bond Index
381,كارگزاري اوراق قرضه,bond crowd
382,"كسر قرضه (زير قيمت اسمي)
متضاد bond premium
 original issue disount",bond discount
383,"ثمر معادل اوراق قرضه
 discount yield",bond equivalent yield
384,دارنده اوراق قرضه,bondholder
385,"انجمن بازار اوراق قرضه (نيويورك)
 Securities Industry Association","Bond Market Association, The-TBMA"
386,صندوق سرمايه‌گذاري اوراق قرضه,bond mutual fund
